,Unnamed: 0,title,time_since_posted,year,kilometers,trim,location,price,im_link
231,231,کوییک,دیروز,1401,14000,دنده ای,خدابنده,328000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/a8f75099-7f7b-48c3-a94d-c0c901fa27db/CarImage_638374980200132337_thumb_900_600.jpg?width=270
232,232,کوییک,دیروز,1400,330000,دنده ای,تهران / اقدسیه,298000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/f1cbc908-4a76-49f0-96e9-ecd8ee75d6c7/CarImage_638374978032202051_thumb_900_600.jpg?width=270
233,233,ساینا,دیروز,1400,55000,دنده ای,کرج / شهرک جهان‌نما,315000000.0,/images/default-images/default-car-white.svg
234,234,کوییک,دیروز,1398,90000,دنده ای,تهران / صادقیه,280000000.0,/images/default-images/default-car-white.svg
235,235,چانگان,دیروز,1397,95000,اتوماتیک,تهران / بهار,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/2146b820-4a91-4e03-9c1e-b853948f8a46/CarImage_638374972031600596_thumb_900_600.jpeg?width=270
236,236,پراید,دیروز,1387,700000,دنده ای,لنجان,,/images/default-images/default-car-white.svg
237,237,سیتروئن,دیروز,1389,233000,2.0 لیتر X,کرج / جهان‌شهر,,/images/default-images/default-car-white.svg
238,238,کوییک,دیروز,1401,0,دنده ای,تهران / پاسداران,338000000.0,/images/default-images/default-car-white.svg
239,239,شاهین,دیروز,1402,0,دنده ای,تهران / سعادت‌آباد,605000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/3bd277f8-65d1-4567-b884-bf60d0a864f7/CarImage_638374944946757763_thumb_900_600.jpg?width=270
240,240,پراید,دیروز,1394,116000,SE,قم / سالاریه,220000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/da75f529-6721-47f1-8cf6-e98878f9d9f5/CarImage_638374942912815000_thumb_900_600.jpg?width=270
241,241,پراید,دیروز,1393,167000,SE,تهران / آرارات,190000000.0,/images/default-images/default-car-white.svg
242,242,پراید,دیروز,1398,0,SE,تهران / تهرانپارس غربی,,/images/default-images/default-car-white.svg
243,243,پراید,دیروز,1387,65000,ساده,تهران / نیرو هوایی,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/bf0268eb-469e-4f65-8b94-d8053b912573/CarImage_638374926972182935_thumb_900_600.jpg?width=270
244,244,برلیانس,دیروز,1396,110000,1.5 دنده ای,ملکان,,/images/default-images/default-car-white.svg
